name,mass,distance
GJ 433 b,6.04300,9.0645600
GJ 433 c,32.42200,9.0645600
GJ 433 d,5.22300,9.0645600
GJ 436 b,22.10000,9.7532100
GJ 463 b,1144.18227,18.3554000
GJ 480 b,13.20000,14.2358000
GJ 486 b,2.82000,8.0742600
GJ 504 b,1271.30000,17.5299000
GJ 514 b,5.20000,7.6177800
GJ 536 b,5.36000,10.4092000
GJ 581 b,15.80000,6.2981000
GJ 581 c,5.50000,6.2981000
GJ 581 e,1.70000,6.2981000
GJ 625 b,2.82000,6.4724900
GJ 649 b,104.24400,10.3796000
GJ 667 C b,5.60000,7.2439600
GJ 667 C c,3.80000,7.2439600
GJ 667 C e,2.70000,7.2439600
GJ 667 C f,2.70000,7.2439600
GJ 667 C g,4.60000,7.2439600
GJ 674 b,11.09000,4.5489600
GJ 676 A b,1837.01057,16.0272000
GJ 676 A c,4271.00959,16.0272000
GJ 676 A d,3.79832,16.0272000
GJ 676 A e,6.69167,16.0272000
GJ 680 b,7764.94529,9.6731500
GJ 682 b,4.40000,5.0067100
GJ 682 c,8.70000,5.0067100
GJ 685 b,9.00000,14.3155000
GJ 687 b,17.20000,4.5493900
GJ 687 c,16.00000,4.5493900
GJ 720 A b,13.64000,15.5575000
GJ 740 b,2.96000,11.1017000
GJ 832 b,216.00000,4.9643500
GJ 849 b,286.04557,8.8005800
GJ 849 c,223.11554,8.8005800
GJ 86 b,1404.80860,10.7836000
GJ 876 b,723.22350,4.6751700
GJ 876 c,226.98460,4.6751700
GJ 876 d,6.83000,4.6751700
GJ 876 e,14.60000,4.6751700
GJ 887 b,4.20000,3.2900000
GJ 887 c,7.60000,3.2900000
GJ 896 A b,718.29220,6.2602200
GJ 9066 c,66.74397,4.4710000
GJ 96 b,19.66000,11.9315000
GJ 9689 b,9.65000,30.6203000
GJ 9714 b,3051.24439,20.5121000
GJ 9827 b,4.91000,29.6610000
GJ 9827 c,0.84000,29.6610000
GJ 9827 d,4.04000,29.6610000
GPX-1 b,6261.21962,655.0130000
GQ Lup b,6356.00000,151.1690000
GSC 06214-00210 b,5000.00000,108.5000000
GU Psc b,3591.30000,47.5501000
Gaia-1 b,533.95172,363.6600000
Gaia-2 b,259.66581,209.2290000
Gl 378 b,13.02000,14.9545000
Gl 49 b,5.63000,9.8528000
Gl 686 b,6.62400,8.1572800
HAT-P-1 b,166.86075,158.9790000
HAT-P-11 b,26.69772,37.7647000
HAT-P-11 c,731.00900,37.7647000
HAT-P-12 b,67.05900,142.7510000
HAT-P-13 b,270.46200,246.8100000
HAT-P-13 c,4538.42100,246.8100000
HAT-P-14 b,1093.33520,222.6630000
HAT-P-15 b,616.59020,192.5160000
HAT-P-16 b,1332.60500,226.6370000
HAT-P-17 b,184.34140,92.3831000
HAT-P-17 c,1080.60000,92.3831000
HAT-P-18 b,62.61000,161.4000000
HAT-P-19 b,92.80200,202.0780000
HAT-P-2 b,2765.12100,127.7740000
HAT-P-20 b,2302.89900,71.0374000
HAT-P-21 b,1547.83210,277.2780000
HAT-P-22 b,785.04010,81.7647000
HAT-P-23 b,425.89220,364.8130000
HAT-P-24 b,238.37250,415.3440000
HAT-P-25 b,180.84527,300.3840000
HAT-P-26 b,22.24810,141.8370000
HAT-P-27 b,197.05000,199.1730000
HAT-P-28 b,198.95300,401.3190000
HAT-P-29 b,279.69040,313.5760000
HAT-P-3 b,206.58950,134.5540000
HAT-P-30 b,263.79890,213.9850000
HAT-P-31 b,721.47410,344.0500000
HAT-P-32 b,216.12440,289.2050000
HAT-P-33 b,292.40360,396.1100000
HAT-P-34 b,1058.37390,249.3250000
HAT-P-35 b,335.62848,506.9650000
HAT-P-36 b,587.41341,294.4190000
HAT-P-37 b,371.52800,390.5940000
HAT-P-38 b,84.85700,255.2060000
HAT-P-39 b,190.37200,697.0040000
HAT-P-4 b,213.25500,320.4510000
HAT-P-40 b,152.55840,464.4690000
HAT-P-41 b,378.21770,348.1850000
HAT-P-42 b,331.80100,405.2380000
HAT-P-43 b,210.39500,528.8250000
HAT-P-44 b,111.87100,347.8500000
HAT-P-44 c,1271.30000,347.8500000
HAT-P-45 b,283.49200,298.6400000
HAT-P-46 b,156.68400,290.7360000
HAT-P-49 b,699.22600,350.3510000
HAT-P-5 b,311.47340,303.3360000
HAT-P-50 b,429.07050,515.4580000
HAT-P-51 b,98.20947,440.0890000
HAT-P-52 b,259.98494,361.1550000
HAT-P-53 b,471.65972,666.8020000
HAT-P-54 b,241.55080,143.6510000
